country,LAU_ID,NUTS_ID_3,NUTS_ID_region
czechia,CZ578592,CZ032,CZ0
czechia,CZ578606,CZ032,CZ0
czechia,CZ578614,CZ032,CZ0
czechia,CZ578622,CZ053,CZ0
czechia,CZ578631,CZ053,CZ0
czechia,CZ578649,CZ053,CZ0
czechia,CZ578657,CZ053,CZ0
czechia,CZ578665,CZ032,CZ0
czechia,CZ578673,CZ053,CZ0
czechia,CZ578681,CZ053,CZ0
czechia,CZ578690,CZ053,CZ0
czechia,CZ578703,CZ053,CZ0
czechia,CZ578711,CZ053,CZ0
czechia,CZ578720,CZ053,CZ0
czechia,CZ578738,CZ053,CZ0
czechia,CZ578746,CZ053,CZ0
czechia,CZ578754,CZ053,CZ0
czechia,CZ578762,CZ053,CZ0
czechia,CZ578771,CZ032,CZ0
czechia,CZ578789,CZ053,CZ0
czechia,CZ578797,CZ032,CZ0
czechia,CZ578801,CZ053,CZ0
czechia,CZ578819,CZ053,CZ0
czechia,CZ578827,CZ032,CZ0
czechia,CZ578835,CZ053,CZ0
czechia,CZ578843,CZ053,CZ0
czechia,CZ578851,CZ053,CZ0
czechia,CZ578860,CZ053,CZ0
czechia,CZ578878,CZ053,CZ0
czechia,CZ578886,CZ053,CZ0
czechia,CZ578894,CZ053,CZ0
czechia,CZ578908,CZ053,CZ0
czechia,CZ578916,CZ053,CZ0
czechia,CZ578924,CZ032,CZ0
czechia,CZ578932,CZ053,CZ0
czechia,CZ578941,CZ053,CZ0
czechia,CZ578959,CZ053,CZ0
czechia,CZ578967,CZ053,CZ0
czechia,CZ578975,CZ053,CZ0
czechia,CZ578983,CZ032,CZ0
czechia,CZ578991,CZ053,CZ0
czechia,CZ579009,CZ032,CZ0
czechia,CZ579017,CZ032,CZ0
czechia,CZ579025,CZ052,CZ0
czechia,CZ579033,CZ032,CZ0
czechia,CZ579041,CZ052,CZ0
czechia,CZ579050,CZ052,CZ0
czechia,CZ579068,CZ052,CZ0
czechia,CZ579076,CZ052,CZ0
czechia,CZ579084,CZ032,CZ0
czechia,CZ579092,CZ052,CZ0
czechia,CZ579106,CZ052,CZ0
czechia,CZ579114,CZ052,CZ0
czechia,CZ579122,CZ052,CZ0
czechia,CZ579131,CZ032,CZ0
czechia,CZ579149,CZ052,CZ0
czechia,CZ579157,CZ052,CZ0
czechia,CZ579165,CZ052,CZ0
czechia,CZ579173,CZ052,CZ0
czechia,CZ579181,CZ052,CZ0
czechia,CZ579190,CZ052,CZ0
czechia,CZ579203,CZ052,CZ0
czechia,CZ579211,CZ052,CZ0
czechia,CZ579220,CZ052,CZ0
czechia,CZ579238,CZ052,CZ0
czechia,CZ579246,CZ032,CZ0
czechia,CZ579254,CZ052,CZ0
czechia,CZ579262,CZ052,CZ0
czechia,CZ588130,CZ063,CZ0
czechia,CZ588148,CZ063,CZ0
czechia,CZ588156,CZ063,CZ0
czechia,CZ588164,CZ063,CZ0
czechia,CZ588172,CZ063,CZ0
czechia,CZ588181,CZ063,CZ0
czechia,CZ588199,CZ063,CZ0
czechia,CZ588202,CZ063,CZ0
czechia,CZ588211,CZ063,CZ0
czechia,CZ588229,CZ063,CZ0
czechia,CZ588237,CZ063,CZ0
czechia,CZ588245,CZ063,CZ0
czechia,CZ588253,CZ063,CZ0
czechia,CZ588261,CZ063,CZ0
czechia,CZ588270,CZ063,CZ0
czechia,CZ588288,CZ063,CZ0
czechia,CZ588296,CZ072,CZ0
czechia,CZ588300,CZ072,CZ0
czechia,CZ588318,CZ072,CZ0
czechia,CZ588326,CZ072,CZ0
czechia,CZ588334,CZ063,CZ0
czechia,CZ588342,CZ063,CZ0
czechia,CZ588377,CZ072,CZ0
